Percentage served,django,dotnet,golang,nodejs,PHP,Lumen,Lumen(apacche),PHP(self serve)
0,4.988,4.51,0.226,4.805,4.442,7.097,2.308,6.571
1,10.549,7.328,3.974,8.198,8.839,147.575,2.83,8.422
2,10.852,7.861,4.868,8.695,8.886,148.01,3.058,8.828
3,11.054,8.183,5.313,9.118,8.918,148.253,3.393,9.425
4,11.208,8.417,5.592,9.38,8.945,148.452,3.713,9.754
5,11.336,8.568,5.783,9.465,8.967,148.671,4.036,9.909
6,11.447,8.684,5.95,9.501,8.984,148.842,4.369,10.04
7,11.543,8.76,6.086,9.548,9,148.983,4.752,10.264
8,11.621,8.829,6.189,9.591,9.013,149.106,5.009,10.542
9,11.701,8.89,6.281,9.62,9.027,149.223,5.179,10.744
10,11.776,8.954,6.364,9.641,9.041,149.343,5.359,10.91
11,11.842,9.021,6.431,9.662,9.054,149.466,5.652,11.037
12,11.905,9.084,6.497,9.685,9.066,149.585,6.08,11.173
13,11.966,9.146,6.558,9.711,9.078,149.713,6.486,11.312
14,12.02,9.206,6.611,9.738,9.09,149.837,6.879,11.441
15,12.072,9.267,6.663,9.771,9.102,149.961,7.264,11.545
16,12.125,9.332,6.711,9.808,9.114,150.089,7.576,11.624
17,12.174,9.391,6.758,9.846,9.126,150.219,7.846,11.71
18,12.223,9.446,6.801,9.885,9.139,150.339,8.147,11.765
19,12.269,9.496,6.843,9.913,9.15,150.449,8.621,11.813
20,12.313,9.547,6.88,9.943,9.162,150.572,9.076,11.854
21,12.36,9.601,6.918,9.978,9.174,150.684,9.534,11.89
22,12.401,9.651,6.956,10.034,9.184,150.799,9.994,11.92
23,12.44,9.7,6.99,10.097,9.197,150.938,10.387,11.947
24,12.479,9.75,7.023,10.15,9.208,151.056,10.756,11.967
25,12.515,9.804,7.055,10.211,9.22,151.176,11.314,11.987
26,12.555,9.853,7.088,10.273,9.233,151.292,11.802,12.008
27,12.593,9.911,7.12,10.335,9.245,151.434,12.336,12.025
28,12.63,9.972,7.152,10.408,9.255,151.574,12.844,12.044
29,12.667,10.038,7.183,10.455,9.268,151.723,13.361,12.059
30,12.705,10.101,7.213,10.524,9.28,151.84,14.02,12.075
31,12.743,10.173,7.245,10.578,9.292,151.953,14.794,12.092
32,12.777,10.249,7.273,10.645,9.305,152.081,15.501,12.108
33,12.81,10.331,7.304,10.709,9.316,152.215,16.152,12.122
34,12.847,10.411,7.331,10.79,9.33,152.354,16.949,12.134
35,12.885,10.497,7.359,10.9,9.345,152.474,17.756,12.147
36,12.917,10.59,7.385,10.981,9.36,152.58,18.506,12.159
37,12.949,10.692,7.414,11.057,9.374,152.696,19.303,12.171
38,12.982,10.788,7.443,11.114,9.387,152.806,20.348,12.183
39,13.014,10.877,7.47,11.175,9.401,152.923,21.357,12.196
40,13.047,10.975,7.497,11.264,9.415,153.047,22.505,12.21
41,13.083,11.067,7.526,11.35,9.428,153.185,23.515,12.223
42,13.117,11.15,7.552,11.428,9.443,153.328,24.505,12.236
43,13.15,11.228,7.579,11.495,9.458,153.473,25.605,12.251
44,13.183,11.301,7.605,11.57,9.474,153.634,26.702,12.265
45,13.216,11.367,7.631,11.631,9.49,153.817,27.96,12.28
46,13.249,11.422,7.66,11.759,9.506,154.003,29.226,12.294
47,13.283,11.479,7.689,11.862,9.522,154.195,30.71,12.308
48,13.316,11.535,7.717,11.975,9.541,154.395,32.214,12.321
49,13.349,11.594,7.745,12.104,9.558,154.609,33.887,12.333
50,13.38,11.648,7.772,12.222,9.575,154.887,35.514,12.348
51,13.41,11.709,7.802,12.369,9.595,155.266,37.26,12.362
52,13.441,11.758,7.832,12.505,9.614,155.699,39.163,12.376
53,13.474,11.812,7.863,12.627,9.634,156.018,41.297,12.39
54,13.51,11.863,7.892,12.714,9.655,156.416,43.477,12.406
55,13.543,11.91,7.922,12.765,9.673,156.932,45.866,12.419
56,13.577,11.966,7.955,12.802,9.694,157.518,48.368,12.434
57,13.61,12.015,7.985,12.831,9.717,158.088,51.286,12.45
58,13.646,12.069,8.015,12.864,9.74,158.653,53.759,12.464
59,13.682,12.13,8.047,12.893,9.759,159.195,56.443,12.483
60,13.713,12.189,8.08,12.91,9.78,159.652,59.859,12.499
61,13.748,12.249,8.115,12.932,9.798,160.17,63.071,12.515
62,13.782,12.315,8.148,12.959,9.817,160.734,65.912,12.53
63,13.82,12.389,8.183,12.994,9.838,161.278,68.036,12.546
64,13.856,12.454,8.219,13.018,9.857,161.791,69.299,12.565
65,13.891,12.521,8.252,13.048,9.877,162.501,70.185,12.584
66,13.93,12.587,8.288,13.075,9.897,163.493,70.927,12.602
67,13.967,12.657,8.326,13.102,9.917,164.885,71.622,12.623
68,14.008,12.727,8.365,13.136,9.936,166.172,72.416,12.646
69,14.046,12.788,8.407,13.164,9.953,167.471,73.449,12.668
70,14.083,12.858,8.445,13.193,9.973,169.015,74.698,12.691
71,14.127,12.927,8.488,13.219,9.994,170.622,76.131,12.715
72,14.168,12.992,8.533,13.248,10.016,173.148,77.688,12.743
73,14.213,13.067,8.581,13.273,10.039,175.636,79.486,12.771
74,14.258,13.137,8.629,13.305,10.064,178.158,81.638,12.803
75,14.304,13.211,8.682,13.33,10.089,180.233,84.588,12.831
76,14.349,13.294,8.74,13.356,10.115,182.766,87.897,12.867
77,14.396,13.395,8.798,13.386,10.141,186.428,92.711,12.909
78,14.447,13.515,8.863,13.427,10.17,191.268,98.708,12.948
79,14.496,13.644,8.931,13.474,10.2,196.07,106.691,12.986
80,14.547,13.799,9.003,13.519,10.236,199.902,117.127,13.027
81,14.605,13.947,9.077,13.57,10.272,201.83,132.581,13.078
82,14.66,14.092,9.167,13.635,10.308,203.324,146.06,13.127
83,14.722,14.226,9.257,13.767,10.347,204.842,160.585,13.188
84,14.788,14.386,9.356,13.876,10.39,206.742,173.568,13.248
85,14.858,14.613,9.467,13.982,10.432,208.538,186.647,13.321
86,14.93,14.824,9.591,14.096,10.489,210.771,198.163,13.386
87,15.009,15.089,9.728,14.225,10.551,213.183,210.847,13.463
88,15.091,15.353,9.884,14.429,10.625,215.841,223.157,13.543
89,15.18,15.616,10.055,14.784,10.704,218.246,233.582,13.651
90,15.284,15.957,10.268,15.232,10.796,220.644,244.015,13.754
91,15.395,16.42,10.476,15.601,10.881,224.316,254.962,13.842
92,15.515,17.014,10.735,16.076,10.995,228.579,264.588,13.931
93,15.663,17.602,11.025,16.525,11.192,233.054,276.774,14.025
94,15.844,18.333,11.346,17.703,11.46,238.207,289.839,14.145
95,16.095,19.28,11.679,18.123,11.726,243.145,301.542,14.286
96,16.432,20.16,12.152,20.297,11.964,249.431,314.795,14.512
97,17.118,21.26,12.701,21.189,12.343,258.538,330.677,14.782
98,1024.634,22.821,13.732,23.056,12.857,273.49,355.995,14.996
99,1036.05,24.367,15.728,25.167,13.72,301.253,393.004,15.452
100,27623.033,39.792,27.168,54.984,36.465,382.966,1339.898,17.641
